0.2, 0.2, 1.5, 500, 42, 0.002, 0.25, 0.288, 0.365
0.2, 0.2, 1.5, 500, 50, 0.001, 0.245, 0.294, 0.359
0.2, 0.2, 1.5, 2500, 42, 0.0, 0.027, 0.175, 0.28
0.2, 0.2, 1.5, 2500, 50, 0.0, 0.031, 0.161, 0.279
0.2, 0.2, 2.5, 500, 42, 0.002, 0.16, 0.175, 0.196
0.2, 0.2, 2.5, 500, 50, 0.001, 0.155, 0.174, 0.194
0.2, 0.2, 2.5, 2500, 42, 0.0, 0.019, 0.129, 0.173
0.2, 0.2, 2.5, 2500, 50, 0.0, 0.021, 0.121, 0.171
0.2, 0.8, 1.5, 500, 42, 0.002, 0.433, 0.466, 0.524
0.2, 0.8, 1.5, 500, 50, 0.001, 0.428, 0.471, 0.524
0.2, 0.8, 1.5, 2500, 42, 0.0, 0.03, 0.2, 0.46
0.2, 0.8, 1.5, 2500, 50, 0.0, 0.031, 0.182, 0.457
0.2, 0.8, 2.5, 500, 42, 0.002, 0.261, 0.453, 0.524
0.2, 0.8, 2.5, 500, 50, 0.001, 0.243, 0.456, 0.524
0.2, 0.8, 2.5, 2500, 42, 0.0, 0.02, 0.135, 0.447
0.2, 0.8, 2.5, 2500, 50, 0.0, 0.021, 0.128, 0.446
0.6, 0.2, 1.5, 500, 42, 0.0, 0.235, 0.273, 0.355
0.6, 0.2, 1.5, 500, 50, 0.001, 0.216, 0.263, 0.34
0.6, 0.2, 1.5, 2500, 42, 0.0, 0.03, 0.16, 0.265
0.6, 0.2, 1.5, 2500, 50, 0.0, 0.023, 0.138, 0.249
0.6, 0.2, 2.5, 500, 42, 0.0, 0.14, 0.155, 0.171
0.6, 0.2, 2.5, 500, 50, 0.001, 0.122, 0.138, 0.159
0.6, 0.2, 2.5, 2500, 42, 0.0, 0.021, 0.114, 0.153
0.6, 0.2, 2.5, 2500, 50, 0.0, 0.013, 0.096, 0.135
0.6, 0.8, 1.5, 500, 42, 0.0, 0.43, 0.466, 0.524
0.6, 0.8, 1.5, 500, 50, 0.001, 0.424, 0.47, 0.524
0.6, 0.8, 1.5, 2500, 42, 0.0, 0.031, 0.188, 0.457
0.6, 0.8, 1.5, 2500, 50, 0.0, 0.023, 0.158, 0.456
0.6, 0.8, 2.5, 500, 42, 0.0, 0.221, 0.449, 0.524
0.6, 0.8, 2.5, 500, 50, 0.001, 0.179, 0.445, 0.524
0.6, 0.8, 2.5, 2500, 42, 0.0, 0.021, 0.12, 0.437
0.6, 0.8, 2.5, 2500, 50, 0.0, 0.013, 0.1, 0.377
