"","year","lgg_border_840","lgg_border_724","lgg_violence","lgg_gdp","lgg_egrowth_usa","lgg_egrowth_spain","lgg_oilpr"
"1",1962,0.0625,0,0,1.85364739407609,-0.0465279629406775,0.207343412526998,1.57
"2",1963,0.0625,0,0,2.17358993804586,1.4348637607286,0.873512032200051,1.52
"3",1964,0.0625,0,0,0.140302273314603,1.56478093303055,0.528154016526109,1.5
"4",1965,0.0625,0,0,2.98220534793872,2.22434618518505,0.525379205152106,1.45
"5",1966,0.0625,0,0,0.556755435243133,2.50911228589767,0.898555592878737,1.42
"6",1967,0.0625,0,0,2.21008994307132,2.48301191689887,0.972972972972973,1.36
"7",1968,0.0625,0,0,1.20688955682753,1.98117318723452,0.4800132417446,1.33
"8",1969,0.0625,0,0,3.04401181057534,2.03952845100106,0.8370947886746,1.32
"9",1970,0.0625,0,0,3.3223439301963,2.54379688443097,0.983260198277263,1.27
"10",1971,-0.125,0,0,3.54958887099201,0.986730725234496,1.02147510657122,1.21
"11",1972,-0.125,0,0,3.43778295651785,0.867494471848954,0.52804224337947,1.7
"12",1973,-0.125,0,0,5.21873127760908,3.39184205080764,0.287195851615477,1.82
"13",1974,-0.125,0,0,4.36789444791945,3.42316238270281,2.45895261069177,2.7
"14",1975,-0.125,0,0,3.43717031387077,1.99320444021429,0.564840606623336,11
"15",1976,-0.125,0,0,0.0820464486786392,-1.10399691731212,-1.82792310116609,10.43
"16",1977,0.03125,0,0,2.41914501004044,3.27424961545031,-1.7231706339665,11.6
"17",1978,0.03125,0,0,1.85533766924712,3.54716446367178,0.071280404296043,12.5
"18",1979,0.03125,0,0,6.07098398326285,4.19744140345397,-1.67339826064298,12.79
"19",1980,0.03125,0,0,3.05901188685415,2.81048810412213,-1.41547609216285,29.19
"20",1981,-0.078125,-0.0625,0,1.8140668886525,0.479845724312771,-2.78327151114921,35.52
"21",1982,-0.078125,-0.0625,0,0.0596085726111966,1.09021856165455,-2.73289325671233,34
"22",1983,-0.078125,-0.0625,0,-1.22565871229835,-0.875034073870442,-0.963172305714777,32.38
"23",1984,-0.078125,-0.0625,0,-0.592211327353539,1.29638334840768,-0.315298606327159,29.04
"24",1985,-0.078125,-0.1875,0,1.17647456503715,3.97284708486143,-2.70490911069991,28.2
"25",1986,-0.046875,-0.25,1,0.972877622217027,2.00140364237731,-1.11345501238191,27.01
"26",1987,0.046875,-0.25,0,3.67355013292539,2.2333538629987,1.79600807032713,13.53
"27",1988,-0.015625,-0.25,0,3.26483102794599,2.52836169206086,4.78951024363471,17.73
"28",1989,-0.109375,-0.25,0,2.01343466982952,2.19886507944792,3.81255619437273,14.24
"29",1990,-0.234375,-0.25,0,1.39099344590625,2.009276731972,3.45928727851881,17.31
"30",1991,-0.265625,-0.25,0,2.24984798060093,1.23533903006314,2.42509479704109,22.26
"31",1992,-0.28125,-0.25,0,0.0202158585507419,-0.913197013548446,0.777154135570216,18.62
"32",1993,-0.28125,-0.25,1,2.03721159607002,0.652955473787257,-1.88365041710524,18.44
"33",1994,-0.25,-0.1875,0,3.37717138946188,1.46957449444659,-4.37227911095079,16.33
"34",1995,-0.25,-0.125,1,3.83884803971159,2.28001092104022,-0.22843995233986,15.53
"35",1996,-0.25,-0.03125,0,3.28893799901337,1.46877854790684,2.34008233623035,16.86
"36",1997,0.03125,-0.15625,1,0.253052837549902,1.42675058698183,2.73542233375352,20.29
"37",1998,0.03125,0,0,1.6552227234201,2.20009740818583,3.57431819635795,18.86
"38",1999,0.03125,-0.03125,0,-1.10925963660314,1.4495278157055,3.98486183205941,12.28
"39",2000,-0.0625,-0.0625,1,-5.76418712793618,1.51654194874591,5.79965867542374,17.44
"40",2001,-0.3125,-0.15625,1,1.28736782423051,2.48585003521054,5.26296441999497,27.6
"41",2002,-0.3125,-0.21875,1,0.0967794978634231,0.0310370085289699,3.96611479548231,23.12
"42",2003,-0.34375,-0.34375,1,0.950680913691301,-0.328313985692204,3.83452153352272,24.36
"43",2004,-0.1875,-0.40625,0,2.39393965906274,0.907898242793989,3.92261209915539,28.1
"44",2005,-0.28125,-0.59375,1,3.85080534763809,1.08881817770528,3.67457178685114,36.05
"45",2006,-0.234375,-0.59375,1,3.42332222613126,1.74832674568086,5.54355183006196,50.59
"46",2007,-0.203125,-0.59375,0,5.35040251622438,1.86751784638607,3.67168026641122,61
"47",2008,0.046875,-0.625,0,5.42863484691856,1.10902882434181,3.11385898785857,69.04
"48",2009,0.046875,-0.625,0,2.07578409424285,-0.470685355576584,-0.538748830585764,94.1
"49",2010,0.046875,-0.645833333333333,0,0.0207132464149282,-3.92128827009347,-7.13252053582879,60.86
"50",2011,0.109375,-0.645833333333333,0,3.40253313166517,-0.58505478416757,-2.04214057861182,77.38
"51",2012,0.109375,-0.598958333333333,0,5.91724426422576,0.57582328645385,-1.64504058588286,107.46
"52",2013,0.015625,-0.598958333333333,0,2.98127287338662,1.82481674973732,-4.47322811960519,109.45
"53",2014,0.015625,-0.598958333333333,0,4.18482189717086,1.01452588180446,-2.88044810082269,105.87
"54",2015,0.015625,-0.598958333333333,0,3.44839523191438,1.62400131779232,1.18299049018172,96.29
